ball_x,ball_y,ball_vx,ball_vy,paddle_direction,paddle_y,Ball.RADIUS,Paddle.L,Paddle.STEP,WIDTH,HEIGHT,BORDER,VELOCITY,FPS
770,200,-12,-8,0,200,10,80,20,800,400,20,12,30
770,200,-12,-8,0,200,10,80,20,800,400,20,12,30
758,192,-12,-8,0,200,10,80,20,800,400,20,12,30
746,184,-12,-8,0,200,10,80,20,800,400,20,12,30
734,176,-12,-8,0,200,10,80,20,800,400,20,12,30
722,168,-12,-8,0,200,10,80,20,800,400,20,12,30
710,160,-12,-8,0,200,10,80,20,800,400,20,12,30
698,152,-12,-8,0,200,10,80,20,800,400,20,12,30
686,144,-12,-8,0,200,10,80,20,800,400,20,12,30
674,136,-12,-8,0,200,10,80,20,800,400,20,12,30
662,128,-12,-8,0,200,10,80,20,800,400,20,12,30
650,120,-12,-8,0,200,10,80,20,800,400,20,12,30
638,112,-12,-8,0,200,10,80,20,800,400,20,12,30
626,104,-12,-8,0,200,10,80,20,800,400,20,12,30
614,96,-12,-8,0,200,10,80,20,800,400,20,12,30
602,88,-12,-8,0,200,10,80,20,800,400,20,12,30
590,80,-12,-8,0,200,10,80,20,800,400,20,12,30
578,72,-12,-8,0,200,10,80,20,800,400,20,12,30
566,64,-12,-8,0,200,10,80,20,800,400,20,12,30
554,56,-12,-8,0,200,10,80,20,800,400,20,12,30
542,48,-12,-8,0,200,10,80,20,800,400,20,12,30
530,40,-12,-8,0,200,10,80,20,800,400,20,12,30
518,32,-12,-8,0,200,10,80,20,800,400,20,12,30
506,40,-12,8,0,200,10,80,20,800,400,20,12,30
494,48,-12,8,0,200,10,80,20,800,400,20,12,30
482,56,-12,8,0,200,10,80,20,800,400,20,12,30
470,64,-12,8,0,200,10,80,20,800,400,20,12,30
458,72,-12,8,0,200,10,80,20,800,400,20,12,30
446,80,-12,8,-1,200,10,80,20,800,400,20,12,30
434,88,-12,8,0,180,10,80,20,800,400,20,12,30
422,96,-12,8,0,180,10,80,20,800,400,20,12,30
410,104,-12,8,0,180,10,80,20,800,400,20,12,30
398,112,-12,8,0,180,10,80,20,800,400,20,12,30
386,120,-12,8,0,180,10,80,20,800,400,20,12,30
374,128,-12,8,0,180,10,80,20,800,400,20,12,30
362,136,-12,8,1,180,10,80,20,800,400,20,12,30
350,144,-12,8,0,200,10,80,20,800,400,20,12,30
338,152,-12,8,0,200,10,80,20,800,400,20,12,30
326,160,-12,8,0,200,10,80,20,800,400,20,12,30
314,168,-12,8,1,200,10,80,20,800,400,20,12,30
