ball_x,ball_y,ball_vx,ball_vy,paddle_direction,paddle_y,Ball.RADIUS,Paddle.L,Paddle.STEP,WIDTH,HEIGHT,BORDER,VELOCITY,FPS
770,200,-12,8,0,200,10,80,20,800,400,20,12,30
770,200,-12,8,0,200,10,80,20,800,400,20,12,30
758,208,-12,8,0,200,10,80,20,800,400,20,12,30
746,216,-12,8,0,200,10,80,20,800,400,20,12,30
734,224,-12,8,0,200,10,80,20,800,400,20,12,30
722,232,-12,8,0,200,10,80,20,800,400,20,12,30
710,240,-12,8,0,220,10,80,20,800,400,20,12,30
698,248,-12,8,0,240,10,80,20,800,400,20,12,30
686,256,-12,8,0,220,10,80,20,800,400,20,12,30
674,264,-12,8,0,240,10,80,20,800,400,20,12,30
662,272,-12,8,0,260,10,80,20,800,400,20,12,30
650,280,-12,8,0,260,10,80,20,800,400,20,12,30
638,288,-12,8,0,240,10,80,20,800,400,20,12,30
626,296,-12,8,0,220,10,80,20,800,400,20,12,30
614,304,-12,8,0,240,10,80,20,800,400,20,12,30
602,312,-12,8,0,260,10,80,20,800,400,20,12,30
590,320,-12,8,0,280,10,80,20,800,400,20,12,30
578,328,-12,8,0,300,10,80,20,800,400,20,12,30
566,336,-12,8,0,300,10,80,20,800,400,20,12,30
554,344,-12,8,0,300,10,80,20,800,400,20,12,30
542,352,-12,8,0,280,10,80,20,800,400,20,12,30
530,360,-12,8,0,300,10,80,20,800,400,20,12,30
518,368,-12,8,0,320,10,80,20,800,400,20,12,30
506,360,-12,-8,0,320,10,80,20,800,400,20,12,30
494,352,-12,-8,0,320,10,80,20,800,400,20,12,30
482,344,-12,-8,0,320,10,80,20,800,400,20,12,30
470,336,-12,-8,0,300,10,80,20,800,400,20,12,30
458,328,-12,-8,0,300,10,80,20,800,400,20,12,30
446,320,-12,-8,0,300,10,80,20,800,400,20,12,30
434,312,-12,-8,0,300,10,80,20,800,400,20,12,30
422,304,-12,-8,0,300,10,80,20,800,400,20,12,30
410,296,-12,-8,0,300,10,80,20,800,400,20,12,30
398,288,-12,-8,0,300,10,80,20,800,400,20,12,30
